epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,505.871,1.01852,3.20955,1.10684,0.46993,0.29836,0.29923,0.22003,0.99181,2.43839,1.04872,0.000300705,0.000300705,0.000300705
2,1009.08,1.01456,2.18792,1.08607,0.58309,0.37328,0.41771,0.30879,0.94511,2.24855,1.03007,0.000543938,0.000543938,0.000543938
3,1509.93,1.00417,1.82684,1.0764,0.70209,0.43823,0.51643,0.37375,0.94452,1.50893,1.01002,0.000727177,0.000727177,0.000727177
4,2009.48,0.99703,1.60156,1.07325,0.69667,0.5041,0.5538,0.39703,0.9161,1.3802,0.99404,0.000639027,0.000639027,0.000639027
5,2505.64,0.91179,1.35869,1.02628,0.82116,0.53422,0.62271,0.46911,0.80004,1.05567,0.93609,0.000549036,0.000549036,0.000549036
6,3005.02,0.857,1.17738,0.99306,0.79926,0.5423,0.64172,0.48392,0.80187,1.01765,0.93946,0.000459045,0.000459045,0.000459045
7,3506.45,0.80415,1.04769,0.96721,0.80808,0.61081,0.68557,0.51982,0.72975,0.91795,0.905,0.000369054,0.000369054,0.000369054
8,4003.7,0.75389,0.95935,0.94574,0.87522,0.58837,0.69147,0.53778,0.68555,0.81174,0.8906,0.000279063,0.000279063,0.000279063
9,4498.58,0.71102,0.87192,0.93108,0.84829,0.62201,0.70684,0.56282,0.63916,0.73163,0.8735,0.000189072,0.000189072,0.000189072
10,5000.23,0.67106,0.80279,0.9135,0.85645,0.64528,0.72566,0.57752,0.60613,0.69909,0.86107,9.9081e-05,9.9081e-05,9.9081e-05
